,Name,State,Conference,PrivatePublic,Year,Rank
0,Princeton University,NJ,Ivy League,Private,2024,1
1,Massachusetts Institute of Technology,MA,NEWMAC,Private,2024,2
2,Harvard University,MA,Ivy League,Private,2024,3
3,Stanford University,CA,ACC,Private,2024,3
4,Yale University,CT,Ivy League,Private,2024,5
5,University of Pennsylvania,PA,Ivy League,Private,2024,6
6,California Institute of Technology,CA,SCIAC,Private,2024,7
7,Duke University,NC,ACC,Private,2024,7
8,Brown University,RI,Ivy League,Private,2024,9
9,Johns Hopkins University,MD,Centennial,Private,2024,9
10,Northwestern University,IL,Big 10,Private,2024,9
11,Columbia University,NY,Ivy League,Private,2024,12
12,Cornell University,NY,Ivy League,Private,2024,12
13,University of Chicago,IL,UAA,Private,2024,12
14,University of California-Berkeley,CA,ACC,Public,2024,15
15,University of California-Los Angeles,CA,Big 10,Public,2024,15
16,Rice University,TX,AAC,Private,2024,17
17,Dartmouth College,NH,Ivy League,Private,2024,18
18,Vanderbilt University,TN,SEC,Private,2024,18
19,University of Notre Dame,IN,ACC,Private,2024,20
20,University of Michigan-Ann Arbor,MI,Big 10,Public,2024,21
21,Georgetown University,DC,Big East,Private,2024,22
22,University of North Carolina-Chapel Hill,NC,ACC,Public,2024,22
23,Carnegie Mellon University,PA,UAA,Private,2024,24
24,Emory University,GA,UAA,Private,2024,24
25,University of Virginia,VA,ACC,Public,2024,24
26,Washington University in St. Louis,MO,UAA,Private,2024,24
27,University of California-Davis,CA,BWC,Public,2024,28
28,University of California-San Diego,CA,BWC,Public,2024,28
29,University of Florida,FL,SEC,Public,2024,28
30,University of Southern California,CA,Big 10,Private,2024,28
31,University of Texas-Austin,TX,SEC,Public,2024,32
32,Georgia Institute of Technology,GA,ACC,Public,2024,33
33,University of California-Irvine,CA,BWC,Public,2024,33
34,New York University,NY,UAA,Private,2024,35
35,University of California-Santa Barbara,CA,BWC,Public,2024,35
36,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2024,35
37,University of Wisconsin-Madison,WI,Big 10,Public,2024,35
38,Boston College,MA,ACC,Private,2024,39
39,Rutgers University-New Brunswick,NJ,Big 10,Public,2024,40
40,Tufts University,MA,NESCAC,Private,2024,40
41,University of Washington,WA,Big 10,Public,2024,40
42,Boston University,MA,Patriot,Private,2024,43
43,Ohio State University-Columbus,OH,Big 10,Public,2024,43
44,Purdue University,IN,Big 10,Public,2024,43
45,University of Maryland,MD,Big 10,Public,2024,46
46,Lehigh University,PA,Patriot,Private,2024,47
47,Texas A&M University-College Station,TX,SEC,Public,2024,47
48,University of Georgia,GA,SEC,Public,2024,47
49,University of Rochester,NY,UAA,Private,2024,47
50,Virginia Polytechnic Institute and State University,VA,ACC,Public,2024,47
51,Wake Forest University,NC,ACC,Private,2024,47
52,Case Western Reserve University,OH,UAA,Private,2024,53
53,College of William and Mary,VA,CAA,Public,2024,53
